5,3.370003897,1.02,0.52,1.242,0.545,0.83
5.5,3.707004287,0.88,0.46,1.174,0.5,0.89
6,4.044004676,0.78,0.415,1.162,0.467,0.97
6.5,4.381005066,0.69,0.374,1.14,0.437,1.05
7,4.718005456,0.61,0.343,1.131,0.41,1.12
7.5,5.055005846,0.55,0.318,1.118,0.384,1.18
8,5.392006235,0.5,0.3,1.101,0.36,1.23
8.5,5.729006625,0.46,0.29,1.07,0.332,1.27
9,6.066007015,0.42,0.279,1.065,0.313,1.32
9.5,6.403007404,0.39,0.268,1.043,0.294,1.39
10,6.740007794,0.36,0.258,1.03,0.276,1.44
10.5,7.077008184,0.33,0.246,1.02,0.264,1.51
11,7.414008573,0.31,0.238,1.007,0.252,1.56
11.5,7.751008963,0.29,0.228,0.998,0.239,1.6
12,8.088009353,0.27,0.22,0.989,0.229,1.63
12.5,8.425009743,0.26,0.211,0.98,0.22,1.66
13,8.762010132,0.24,0.206,0.975,0.21,1.68
