Shot #,UAS Test #,Charge NEW,Distance to UAS (ft) ,Peak Pressure (psig),Peak Impulse (psi-ms),Fail/No-Fail,Corresponding Figure,Direction,Disposition
3,1,0.5,9,6.6,4.6,No Fail,-,-,Horizontal/Vertical -- can't distinguish
4,2,0.125,9,3,1.8,No Fail,-,-,Horizontal/Vertical -- can't distinguish
5,3,1,9,9.9,7.1,No Fail,-,-,Horizontal/Vertical -- can't distinguish
6,4,0.125,4,11.6,3.8,No Fail,-,-,Horizontal/Vertical -- can't distinguish
7,5,0.5,4,34,8.25,Fail,-,-,Horizontal/Vertical -- can't distinguish
8,6,0.5,4,37,8.8,Fail,-,-,Horizontal/Vertical -- can't distinguish
9,7,0.5,9,6.5,5.25,No Fail,-,-,Horizontal/Vertical -- can't distinguish
10,8,1,9,9.3,6.4,No Fail,-,-,Horizontal/Vertical -- can't distinguish
12,10,0.375,4,27.6,6.9,Fail,-,-,Not sure the conversion to use
13,11,2,6,40.6,15.2,Fail,Figure 2-3,Vertical,Vertical
14,12,0.68,10,5.9,4.6,No Fail,-,-,Horizontal/Vertical -- can't distinguish
15,13,0.375,4,24.9,7.6,Fail,Figure 2-2,Horizontal,Horizontal
